X,HGL
3.55,0.477609
3.56,0.477694
3.57,0.477778
3.58,0.477862
3.59,0.477946
3.6,0.47803
3.61,0.478114
3.62,0.478198
3.63,0.478281
3.64,0.478365
3.65,0.478448
3.66,0.478531
3.67,0.478614
3.68,0.478697
3.69,0.47878
3.7,0.478863
3.71,0.478945
3.72,0.479028
3.73,0.47911
3.74,0.479192
3.75,0.479274
3.76,0.479356
3.77,0.479438
3.78,0.479519
3.79,0.479601
3.8,0.479683
3.81,0.479764
3.82,0.479845
3.83,0.479926
3.84,0.480007
3.85,0.480088
3.86,0.480169
3.87,0.480249
3.88,0.48033
3.89,0.48041
3.9,0.480491
3.91,0.480571
3.92,0.480651
3.93,0.480731
3.94,0.480811
3.95,0.480891
3.96,0.48097
3.97,0.48105
3.98,0.481129
3.99,0.481208
4,0.481288
4.01,0.481367
4.02,0.481446
4.03,0.481525
4.04,0.481603
4.05,0.481682
4.06,0.481761
4.07,0.481839
4.08,0.481917
4.09,0.481996
4.1,0.482074
4.11,0.482152
4.12,0.48223
4.13,0.482308
4.14,0.482385
4.15,0.482463
4.16,0.48254
4.17,0.482618
4.18,0.482695
4.19,0.482772
4.2,0.482849
4.21,0.482926
4.22,0.483003
4.23,0.48308
4.24,0.483157
4.25,0.483234
4.26,0.48331
4.27,0.483386
4.28,0.483463
4.29,0.483539
4.3,0.483615
4.31,0.483691
4.32,0.483767
4.33,0.483843
4.34,0.483919
4.35,0.483994
4.36,0.48407
4.37,0.484145
4.38,0.484221
4.39,0.484296
4.4,0.484371
4.41,0.484446
4.42,0.484521
4.43,0.484596
4.44,0.484671
4.45,0.484746
4.46,0.48482
4.47,0.484895
4.48,0.484969
4.49,0.485044
4.5,0.485118
4.51,0.485192
4.52,0.485266
4.53,0.48534
4.54,0.485414
4.55,0.485488
4.56,0.485562
4.57,0.485635
4.58,0.485709
4.59,0.485782
4.6,0.485856
4.61,0.485929
4.62,0.486002
4.63,0.486075
4.64,0.486148
4.65,0.486221
4.66,0.486294
4.67,0.486367
4.68,0.48644
4.69,0.486512
4.7,0.486585
4.71,0.486657
4.72,0.48673
4.73,0.486802
4.74,0.486874
4.75,0.486946
4.76,0.487018
4.77,0.48709
4.78,0.487162
4.79,0.487234
4.8,0.487306
4.81,0.487377
4.82,0.487449
4.83,0.48752
4.84,0.487592
4.85,0.487663
4.86,0.487734
4.87,0.487805
4.88,0.487876
4.89,0.487947
4.9,0.488018
4.91,0.488089
4.92,0.48816
4.93,0.488231
4.94,0.488301
4.95,0.488372
4.96,0.488442
4.97,0.488512
4.98,0.488583
4.99,0.488653
5,0.488723
5.01,0.488793
5.02,0.488863
5.03,0.488933
5.04,0.489003
5.05,0.489073
5.06,0.489142
5.07,0.489212
5.08,0.489282
5.09,0.489351
5.1,0.48942
5.11,0.48949
5.12,0.489559
5.13,0.489628
5.14,0.489697
5.15,0.489766
5.16,0.489835
5.17,0.489904
5.18,0.489973
5.19,0.490042
5.2,0.49011
5.21,0.490179
5.22,0.490247
5.23,0.490316
5.24,0.490384
5.25,0.490453
5.26,0.490521
5.27,0.490589
5.28,0.490657
5.29,0.490725
5.3,0.490793
5.31,0.490861
5.32,0.490929
5.33,0.490997
5.34,0.491064
5.35,0.491132
5.36,0.4912
5.37,0.491267
5.38,0.491334
5.39,0.491402
5.4,0.491469
5.41,0.491536
5.42,0.491603
5.43,0.491671
5.44,0.491738
5.45,0.491805
5.46,0.491871
5.47,0.491938
5.48,0.492005
5.49,0.492072
5.5,0.492138
5.51,0.492205
5.52,0.492271
5.53,0.492338
5.54,0.492404
5.55,0.49247
5.56,0.492537
5.57,0.492603
5.58,0.492669
5.59,0.492735
5.6,0.492801
5.61,0.492867
5.62,0.492933
5.63,0.492999
5.64,0.493064
5.65,0.49313
5.66,0.493196
5.67,0.493261
5.68,0.493327
5.69,0.493392
5.7,0.493457
5.71,0.493523
5.72,0.493588
5.73,0.493653
5.74,0.493718
5.75,0.493783
5.76,0.493848
5.77,0.493913
5.78,0.493978
5.79,0.494043
5.8,0.494108
5.81,0.494172
5.82,0.494237
5.83,0.494301
5.84,0.494366
5.85,0.49443
5.86,0.494495
5.87,0.494559
5.88,0.494623
5.89,0.494688
5.9,0.494752
5.91,0.494816
5.92,0.49488
5.93,0.494944
5.94,0.495008
5.95,0.495072
5.96,0.495136
5.97,0.495199
5.98,0.495263
5.99,0.495327
6,0.49539
6.01,0.495454
6.02,0.495517
6.03,0.495581
6.04,0.495644
6.05,0.495707
6.06,0.495771
6.07,0.495834
6.08,0.495897
6.09,0.49596
6.1,0.496023
6.11,0.496086
6.12,0.496149
6.13,0.496212
6.14,0.496275
6.15,0.496337
6.16,0.4964
6.17,0.496463
6.18,0.496525
6.19,0.496588
6.2,0.49665
6.21,0.496713
6.22,0.496775
6.23,0.496837
6.24,0.4969
6.25,0.496962
6.26,0.497024
6.27,0.497086
6.28,0.497148
6.29,0.49721
6.3,0.497272
6.31,0.497334
6.32,0.497396
6.33,0.497458
6.34,0.497519
6.35,0.497581
6.36,0.497643
6.37,0.497704
6.38,0.497766
6.39,0.497827
6.4,0.497889
6.41,0.49795
6.42,0.498011
6.43,0.498073
6.44,0.498134
6.45,0.498195
6.46,0.498256
6.47,0.498317
6.48,0.498378
6.49,0.498439
6.5,0.4985
6.51,0.498561
6.52,0.498622
6.53,0.498683
6.54,0.498743
6.55,0.498804
6.56,0.498865
6.57,0.498925
6.58,0.498986
6.59,0.499046
6.6,0.499107
6.61,0.499167
6.62,0.499227
6.63,0.499288
6.64,0.499348
6.65,0.499408
6.66,0.499468
6.67,0.499528
6.68,0.499588
6.69,0.499648
6.7,0.499708
6.71,0.499768
6.72,0.499828
6.73,0.499888
6.74,0.499947
6.75,0.500007
6.76,0.500067
6.77,0.500126
6.78,0.500186
6.79,0.500246
6.8,0.500305
6.81,0.500364
6.82,0.500424
6.83,0.500483
6.84,0.500542
6.85,0.500602
6.86,0.500661
6.87,0.50072
6.88,0.500779
6.89,0.500838
6.9,0.500897
6.91,0.500956
6.92,0.501015
6.93,0.501074
6.94,0.501133
6.95,0.501192
6.96,0.50125
6.97,0.501309
6.98,0.501368
6.99,0.501426
7,0.501485
7.01,0.501543
7.02,0.501602
7.03,0.50166
7.04,0.501719
7.05,0.501777
7.06,0.501835
7.07,0.501893
7.08,0.501952
7.09,0.50201
7.1,0.502068
7.11,0.502126
7.12,0.502184
7.13,0.502242
7.14,0.5023
7.15,0.502358
7.16,0.502416
7.17,0.502474
7.18,0.502531
7.19,0.502589
7.2,0.502647
7.21,0.502704
7.22,0.502762
7.23,0.50282
7.24,0.502877
7.25,0.502935
7.26,0.502992
7.27,0.503049
7.28,0.503107
7.29,0.503164
7.3,0.503221
7.31,0.503279
7.32,0.503336
7.33,0.503393
7.34,0.50345
7.35,0.503507
7.36,0.503564
7.37,0.503621
7.38,0.503678
7.39,0.503735
7.4,0.503792
7.41,0.503849
7.42,0.503905
7.43,0.503962
7.44,0.504019
7.45,0.504076
7.46,0.504132
7.47,0.504189
7.48,0.504245
7.49,0.504302
7.5,0.504358
7.51,0.504415
7.52,0.504471
7.53,0.504527
7.54,0.504584
7.55,0.50464
7.56,0.504696
7.57,0.504752
7.58,0.504808
7.59,0.504865
7.6,0.504921
7.61,0.504977
7.62,0.505033
7.63,0.505089
7.64,0.505144
7.65,0.5052
7.66,0.505256
7.67,0.505312
7.68,0.505368
7.69,0.505423
7.7,0.505479
7.71,0.505535
7.72,0.50559
7.73,0.505646
7.74,0.505701
7.75,0.505757
7.76,0.505812
7.77,0.505868
7.78,0.505923
7.79,0.505978
7.8,0.506034
7.81,0.506089
7.82,0.506144
7.83,0.506199
7.84,0.506254
7.85,0.50631
7.86,0.506365
7.87,0.50642
7.88,0.506475
7.89,0.50653
7.9,0.506585
7.91,0.506639
7.92,0.506694
7.93,0.506749
7.94,0.506804
7.95,0.506859
7.96,0.506913
7.97,0.506968
7.98,0.507023
7.99,0.507077
8,0.507132
8.01,0.507186
8.02,0.507241
8.03,0.507295
8.04,0.50735
8.05,0.507404
8.06,0.507458
8.07,0.507513
8.08,0.507567
8.09,0.507621
8.1,0.507675
8.11,0.50773
8.12,0.507784
8.13,0.507838
8.14,0.507892
8.15,0.507946
8.16,0.508
8.17,0.508054
8.18,0.508108
8.19,0.508162
8.2,0.508215
8.21,0.508269
8.22,0.508323
8.23,0.508377
